x,y,c
1.0,0.0,0.0
1.038,0.2747519533757315,0.2748153660113962
1.075,0.38485561215026776,0.3849176787627977
1.113,0.470994507225097,0.4710280726037075
1.15,0.5410547727935783,0.5410972793895242
1.188,0.6039350135928953,0.6039667543895874
1.225,0.658804501710937,0.6588396421229173
1.262,0.7088990892478025,0.7089387095806505
1.3,0.756401533894042,0.7564329108569596
1.337,0.799476414594726,0.7995100733390215
1.375,0.840996335363281,0.8410193220114457
1.413,0.8801198722097165,0.8801589817744412
1.45,0.916254734646972,0.9162907318741551
1.488,0.9515808186936034,0.9516123250034084
1.525,0.984419891757324,0.9844568754634134
1.562,1.01589204430957,1.0159315204015067
1.6,1.0469353627019036,1.0469679150031885
1.637,1.0760057804079586,1.0760459147275514
1.675,1.1048023308088375,1.1048380235128001
1.712,1.1318753041232905,1.1319129843425533
1.75,1.158778994985351,1.158810360429947
1.788,1.184818665655761,1.1848539467865196
1.825,1.209415083580078,1.2094493200239984
1.862,1.233316531588378,1.2333420703934752
1.9,1.257159282216796,1.2571958266003804
1.938,1.280373413849609,1.280398561208857
1.975,1.30237526363916,1.3024023319997906
2.013,1.3243918837644035,1.32443113610091
2.05,1.3453185077600096,1.3453559579539243
2.087,1.3657480722551265,1.3657909006474096
2.125,1.3862685269914545,1.3862943611198906
2.162,1.405777924788085,1.4058106143280733
2.2,1.42538038327539,1.4254169430706127
2.237,1.444060672169921,1.4441013650755223
2.275,1.462848610995117,1.4628929774890096
2.312,1.480776361322753,1.4808198859035138
2.35,1.498839683088867,1.4988676343477163
2.388,1.516526301643066,1.5165624639198168
2.425,1.533430313291015,1.5334665322005228
2.462,1.550024202979003,1.550062640587485
2.5,1.566770643278808,1.5667992369724109
2.537,1.582777677027832,1.5828068812788016
2.575,1.598928987708496,1.5989619916753115
2.612,1.614390135649414,1.614424423043299
2.65,1.630000759123046,1.6300398747576064
2.688,1.64536121968164,1.6453963731150567
2.725,1.660071082182617,1.6601085272649965
2.763,1.674943146421875,1.6749799417784803
2.8,1.689198318001953,1.689235549980296
2.837,1.703232743940429,1.7032768510218015
2.875,1.717452262541015,1.7174816447333652
2.912,1.731072468023925,1.7311088584780558
2.95,1.744860401494628,1.7449015550838176
2.987,1.758103363788085,1.7581397381490185
3.025,1.771502407125976,1.771544847996222
3.062,1.784376849263671,1.784416751169626
3.1,1.797426098256835,1.7974565682676864
3.137,1.809951890857421,1.809982920215417
3.175,1.822635755395507,1.8226777902135904
3.212,1.834843360530273,1.83487753781839
3.25,1.847214326751464,1.8472460857138377
3.288,1.859425322228027,1.8594559124783225
3.325,1.871161007858398,1.871195923651027
3.362,1.882757269124023,1.8827931709214702
3.4,1.894523250963378,1.8945590126722978
3.438,1.906154025169921,1.9061817717783993
3.475,1.917333946688964,1.9173645968233501
3.512,1.92838755708789,1.9284183478608632
3.55,1.939599149569335,1.9396397117538986
3.587,1.95040559817871,1.950441107707684
3.625,1.961384208731933,1.9614094077467448
3.663,1.972216297873046,1.9722539579062521
3.7,1.982660807706054,1.9826969446812035
3.737,1.992995293138183,1.9930278739941787
3.775,2.003485744064453,2.0035239631345623
3.812,2.013594574745117,2.013635219804892
3.85,2.023882298770019,2.0239106350993814
3.887,2.033774806562988,2.0338116710784333
3.925,2.043840862084472,2.0438757972097323
3.962,2.053535523083496,2.053575450049643
