x,y,c
-0.975,-2.184734043046875,-2.1847239262335103
-0.951,-1.8421416935358885,-1.8421385212562418
-0.926,-1.6295683539875485,-1.629567749576951
-0.902,-1.4828478928767086,-1.482846882217382
-0.877,-1.3626242146013174,-1.3626228406070457
-0.853,-1.2670620735080564,-1.2670643197533116
-0.829,-1.1849269454963376,-1.1849305459441029
-0.804,-1.1098217390427245,-1.109823520696026
-0.78,-1.045375943243164,-1.0453705484668847
-0.756,-0.9868144612659907,-0.9868127744509301
-0.731,-0.9308731674678953,-0.930871587787185
-0.707,-0.8811566496654047,-0.8811600568886866
-0.682,-0.8328263533201897,-0.8328437288763584
-0.658,-0.7892861453184813,-0.7892782993163177
-0.634,-0.7480726451369625,-0.7480764710092911
-0.609,-0.7073290991846922,-0.7073302935035086
-0.585,-0.6700290808861078,-0.6700305830403412
-0.561,-0.6342894089860835,-0.6342912537201305
-0.536,-0.5985201117912595,-0.5985261807406812
-0.512,-0.565436199887695,-0.5654365754431656
-0.487,-0.532120065493652,-0.5321200506446927
-0.463,-0.5011231663201897,-0.50112315325563
-0.439,-0.470991400988769,-0.47099140068233575
-0.414,-0.4404290273186035,-0.4404290284397527
-0.39,-0.41180003273425275,-0.4118000344786903
-0.366,-0.3837965413698725,-0.3837965428467547
-0.341,-0.3552236560583495,-0.35522367438958563
-0.317,-0.3283084060305175,-0.32830842108624547
-0.292,-0.300751277132324,-0.3007512953244137
-0.268,-0.27470781307922326,-0.27470781051792986
-0.244,-0.24902295110534575,-0.24902294855979587
-0.219,-0.2226054786506345,-0.22260548982079276
-0.195,-0.19752958130602977,-0.19752959347352386
-0.171,-0.17269659099108875,-0.17269660423121122
-0.146,-0.147050839652343,-0.14705085174305751
-0.122,-0.12261073271887125,-0.12261074622376249
-0.097,-0.09730592498669376,-0.09730595342912242
-0.073,-0.07313006261828527,-0.07313008853242164
-0.049,-0.049039245055664,-0.04903927292545344
-0.024,-0.02400458017590326,-0.024004609593180303
0.0,0.0,0.0
0.024,0.02400458017590326,0.024004609593180303
0.049,0.049039245055664,0.04903927292545344
0.073,0.073130062310546,0.07313008853242164
0.098,0.09831552385607827,0.09831555100342614
0.122,0.122610732411132,0.12261074622376249
0.146,0.1470508380368645,0.14705085174305751
0.171,0.17269659099108875,0.17269660423121122
0.195,0.19752958130602977,0.19752959347352386
0.219,0.2226054786506345,0.22260548982079276
0.244,0.2490229507976065,0.24902294855979587
0.268,0.27470781307922326,0.27470781051792986
0.293,0.3018448408518065,0.3018448564376423
0.317,0.3283084060305175,0.32830842108624547
0.341,0.3552236560583495,0.35522367438958563
0.366,0.383796540754394,0.3837965428467547
0.39,0.41180003273425275,0.4118000344786903
0.414,0.440429026703125,0.4404290284397527
0.439,0.470991400988769,0.47099140068233575
0.463,0.501123165396972,0.50112315325563
0.488,0.533431808980468,0.5334317951767646
0.512,0.565436199887695,0.5654365754431656
0.536,0.5985201117912595,0.5985261807406812
0.561,0.6342894089860835,0.6342912537201305
0.585,0.6700290808861078,0.6700305830403412
0.609,0.7073290991846922,0.7073302935035086
0.634,0.7480726451369625,0.7480764710092911
0.658,0.7892861453184813,0.7892782993163177
0.682,0.8328263533201897,0.8328437288763584
0.707,0.8811566496654047,0.8811600568886866
0.731,0.9308731674678953,0.930871587787185
0.756,0.9868144612659907,0.9868127744509301
0.78,1.045375943243164,1.0453705484668847
0.804,1.1098217390427245,1.109823520696026
0.829,1.1849269454963376,1.1849305459441029
0.853,1.2670620735080564,1.2670643197533116
0.878,1.366972101359863,1.3669708075174758
0.902,1.4828478928767086,1.482846882217382
0.926,1.6295683539875485,1.629567749576951
0.951,1.8421416935358885,1.8421385212562418
