x,y,c
0.05,-2.9957294298833,-2.995732273553991
0.099,-2.31263329174707,-2.312635428847547
0.149,-1.90380757189746,-1.903808973036678
0.198,-1.619486817135742,-1.6194882482876019
0.247,-1.398365474815429,-1.3983669423541598
0.297,-1.2140224482697746,-1.2140231401794375
0.346,-1.061315783448242,-1.0613165039244128
0.396,-0.9263403419089355,-0.9263410677276565
0.445,-0.8096802395452878,-0.8096809968158968
0.494,-0.7052189995886226,-0.7052197617942145
0.544,-0.6088060037853995,-0.6088060321261943
0.593,-0.5225608885394277,-0.5225608799844117
0.643,-0.441610538905273,-0.44161055474451766
0.692,-0.3681693062214355,-0.36816932336446756
0.741,-0.299754630722656,-0.2997546536860502
0.791,-0.2344572870661615,-0.23445731121448313
0.84,-0.1743533370314935,-0.1743533871447778
0.889,-0.11765799374548276,-0.11765804346823246
0.939,-0.06293974287585376,-0.0629397997738742
0.988,-0.012072524361816,-0.012072581234269249
1.038,0.037295098956542,0.03729578474369693
1.087,0.083420922729003,0.08342160813907236
1.136,0.1275125992551265,0.1275133202989595
1.186,0.1705855783796385,0.17058630057553367
1.235,0.21107024738439925,0.2110709700799406
1.284,0.24997951024230927,0.24998020526776946
1.334,0.28818125084094226,0.288181947493432
1.383,0.3242543580520015,0.32425505268262117
1.433,0.3597694565407705,0.3597701488460348
1.482,0.3933918375041495,0.39339252687389514
1.531,0.42592042626354976,0.42592111667554666
1.581,0.45805686886950675,0.45805755822733496
1.63,0.4885793528258053,0.4885800148186709
1.679,0.518197717239746,0.5181983780954038
1.729,0.5475425465362542,0.5475432067011535
1.778,0.5754884734813228,0.5754891370917129
1.828,0.6032218126075433,0.6032224730319583
1.877,0.6296741011878657,0.6296747576043717
1.926,0.6554446573405756,0.6554453133759338
1.976,0.6810739418649895,0.681074599325676
2.025,0.7055683131154785,0.7055697005585024
2.074,0.7294777180031735,0.7294791098073355
2.124,0.7532997140773925,0.7533011033796925
2.173,0.7761073087214355,0.7761087012742927
2.223,0.798856199446289,0.7988576349820594
2.272,0.820659073481933,0.8206605008589049
2.321,0.8419966979167475,0.8419981272923001
2.371,0.8633103822453605,0.8633118070832684
2.42,0.8837661112248535,0.883767540168595
2.469,0.9038117822448725,0.9038132103630424
2.519,0.9238605674250485,0.9238619973704731
2.568,0.943125987776855,0.9431273858277147
2.617,0.9620272221789545,0.9620286235480088
2.667,0.980952842270507,0.9809542451998772
2.716,0.9991588093415525,0.9991602096964498
2.766,1.017400832278808,1.0174022332425665
2.815,1.0349608631467284,1.0349622615916536
2.864,1.0522178555378414,1.052219249098399
2.914,1.0695253147097166,1.069526707773013
2.963,1.086200875324218,1.0862022685914283
3.013,1.102934862445312,1.1029362601481643
3.062,1.1190669017980954,1.119068297235492
3.111,1.1349428224816884,1.1349442179155
3.161,1.15088704020312,1.1508884332334808
3.21,1.166269543755371,1.1662709371419244
3.259,1.1814190308122554,1.1814203998554245
3.309,1.1966446613151855,1.1966460289394751
3.358,1.2113441934665525,1.2113455586553492
3.407,1.225830772377929,1.2258321386788296
3.457,1.240399797755859,1.2404011609394874
3.506,1.254474422439941,1.2544757864990428
3.556,1.2686349510158685,1.2686363176516582
3.605,1.2823204069235834,1.2823217707369123
3.654,1.2958210915866695,1.2958224579558149
3.704,1.309411955187988,1.309413316783933
3.753,1.3225541574763175,1.3225555201528838
3.803,1.335788869014648,1.3357902289461225
3.852,1.348591133567382,1.348592493935879
3.901,1.361231569111328,1.3612329305245194
3.951,1.373967351114746,1.3739687114292538
