x0,x1,y,c
10.0,-4.0,0.00010001154553126,0.0001
10.0,-3.9,0.00012592277331476,0.00012589254117941674
10.0,-3.8,0.00015852198327576,0.00015848931924611142
10.0,-3.7,0.00019956265954576,0.00019952623149688788
10.0,-3.6,0.00025122802246,0.00025118864315095795
10.0,-3.5,0.00031626527233876,0.00031622776601683794
10.0,-3.4,0.00039819799475026,0.00039810717055349735
10.0,-3.3,0.0005012876193845,0.0005011872336272725
10.0,-3.2,0.00063106239636176,0.000630957344480193
10.0,-3.1,0.00079443845312,0.0007943282347242813
10.0,-3.0,0.0010001051433105,0.001
10.0,-2.9,0.00125919388122476,0.0012589254117941675
10.0,-2.8,0.00158517974865626,0.001584893192461114
10.0,-2.7,0.001995561404785,0.001995262314968879
10.0,-2.6,0.0025121825207515,0.0025118864315095794
10.0,-2.5,0.003162544324218,0.0031622776601683794
10.0,-2.4,0.0039818395446775,0.003981071705534973
10.0,-2.3,0.005012675555175,0.005011872336272725
10.0,-2.2,0.006310374856933,0.00630957344480193
10.0,-2.1,0.00794403849328526,0.007943282347242814
10.0,-2.0,0.0100006220783685,0.01
10.0,-1.9,0.01259050627941826,0.012589254117941675
10.0,-1.8,0.0158499983010245,0.015848931924611134
10.0,-1.7,0.01995470826269,0.0199526231496888
10.0,-1.6,0.025120661704589,0.025118864315095794
10.0,-1.5,0.03162402155700676,0.03162277660168379
10.0,-1.4,0.039813768285156,0.039810717055349734
10.0,-1.3,0.0501209108835445,0.05011872336272722
10.0,-1.2,0.063100886969238,0.06309573444801933
10.0,-1.1,0.0794366898664545,0.07943282347242814
10.0,-1.0,0.1000015686970205,0.1
10.0,-0.9,0.12589487938000427,0.12589254117941673
10.0,-0.8,0.158492599725097,0.15848931924611134
10.0,-0.7,0.1995307899230955,0.19952623149688797
10.0,-0.6,0.251195100957519,0.251188643150958
10.0,-0.5,0.3162254621569815,0.31622776601683794
10.0,-0.4,0.3981051204112543,0.3981071705534972
10.0,-0.3,0.501186088587402,0.5011872336272722
10.0,-0.2,0.6309461699821775,0.6309573444801932
10.0,-0.1,0.7943088758874505,0.7943282347242815
10.0,0.0,1.0,1.0
10.0,0.1,1.2588780317399895,1.2589254117941673
10.0,0.2,1.58482300909375,1.5848931924611136
10.0,0.3,1.9951431706970204,1.9952623149688795
10.0,0.4,2.511743626893066,2.51188643150958
10.0,0.5,3.162104614366699,3.1622776601683795
10.0,0.6,3.980722507662109,3.9810717055349722
10.0,0.7,5.011447072993164,5.011872336272722
10.0,0.8,6.309051512,6.309573444801933
10.0,0.9,7.942642294624023,7.943282347242816
10.0,1.0,9.999222819564453,10.0
10.0,1.1,12.58786016490625,12.589254117941675
10.0,1.2,15.846654151041015,15.848931924611133
10.0,1.3,19.95051370087109,19.952623149688797
10.0,1.4,25.11537982272656,25.118864315095795
10.0,1.5,31.61956841936328,31.622776601683793
10.0,1.6,39.80539351453125,39.810717055349734
10.0,1.7,50.11036756338281,50.11872336272722
10.0,1.8,63.087567087875,63.09573444801933
10.0,1.9,79.41997688654688,79.43282347242814
10.0,2.0,99.98755424854687,100.0
10.0,2.1,125.8727189288125,125.89254117941675
10.0,2.2,158.45925032796876,158.48931924611142
10.0,2.3,199.48179292325,199.52623149688787
10.0,2.4,251.1244118173125,251.18864315095797
10.0,2.5,316.1811363653125,316.22776601683796
10.0,2.6,398.0353276694375,398.1071705534973
10.0,2.7,501.0802564595,501.18723362727246
10.0,2.8,630.80231332525,630.957344480193
10.0,2.9,794.10684442225,794.3282347242813
10.0,3.0,999.828811644,1000.0
10.0,3.1,1258.669271466,1258.9254117941675
10.0,3.2,1584.5184354765,1584.893192461114
10.0,3.3,1994.724704741,1995.2623149688789
10.0,3.4,2511.128576276,2511.88643150958
10.0,3.5,3161.6635704,3162.2776601683795
10.0,3.6,3980.167304991,3981.0717055349733
10.0,3.7,5010.57192993,5011.872336272725
10.0,3.8,6307.728164671,6309.57344480193
10.0,3.9,7940.697277068,7943.282347242814
