x,y,c
-4.0,-27.28916708769922,-27.289917197127753
-3.9,-24.690425302789063,-24.691103597042183
-3.8,-22.33879354188281,-22.339406860722324
-3.7,-20.210735182371092,-20.21129041679853
-3.6,-18.284953367160156,-18.285455360615348
-3.5,-16.542173382,-16.542627287635
-3.4,-14.964941722339843,-14.965363388718341
-3.3,-13.537496264546874,-13.537877876628322
-3.2,-12.24553905791992,-12.245883996565492
-3.1,-11.076139228708984,-11.076451039524038
-3.0,-10.017592875179687,-10.017874927409903
-2.9,-9.059306075435545,-9.059561074693326
-2.8,-8.19168793909375,-8.191918354235915
-2.7,-7.406049324075195,-7.406263106066543
-2.6,-6.694538950930664,-6.694732228393679
-2.5,-6.050029938095703,-6.0502044810397875
-2.4,-5.466071613260742,-5.466229213676094
-2.3,-4.936819490234375,-4.936961805545957
-2.2,-4.456976737273437,-4.457105170535894
-2.1,-4.021740977564453,-4.021856742157334
-2.0,-3.62675332755957,-3.6268604078470186
-1.9,-3.268066371304687,-3.268162911528317
-1.8,-2.942087474145996,-2.9421742880956803
-1.7,-2.645553949036621,-2.6456319338372323
-1.6,-2.375497963745605,-2.37556795320023
-1.5,-2.129216802003906,-2.1292794550948173
-1.4,-1.904245570981445,-1.9043015014515339
-1.3,-1.698331192743652,-1.698382437292616
-1.2,-1.5094158077302244,-1.5094613554121725
-1.1,-1.3356072385480955,-1.335647470124177
-1.0,-1.175165872339843,-1.1752011936438014
-0.9,-1.0264859248952636,-1.0265167257081753
-0.8,-0.8880794109577635,-0.888105982187623
-0.7,-0.7585611056320795,-0.7585837018395334
-0.6,-0.6366338522868645,-0.6366535821482413
-0.5,-0.52107912829541,-0.5210953054937474
-0.4,-0.410739587892089,-0.4107523258028155
-0.3,-0.304510862575683,-0.3045202934471426
-0.2,-0.20132976465625,-0.201336002541094
-0.1,-0.100163666117187,-0.10016675001984403
0.0,2.5233398e-08,0.0
0.1,0.100163666117187,0.10016675001984403
0.2,0.20132976465625,0.201336002541094
0.3,0.304510862575683,0.3045202934471426
0.4,0.410739587892089,0.4107523258028155
0.5,0.5210791276799315,0.5210953054937474
0.6,0.6366338522868645,0.6366535821482413
0.7,0.758561105016601,0.7585837018395334
0.8,0.8880794109577635,0.888105982187623
0.9,1.026485924279785,1.0265167257081753
1.0,1.175165872339843,1.1752011936438014
1.1,1.3356072385480955,1.335647470124177
1.2,1.5094158064992675,1.5094613554121725
1.3,1.698331192743652,1.698382437292616
1.4,1.904245565288574,1.9043015014515339
1.5,2.129216802003906,2.1292794550948173
1.6,2.375497963745605,2.37556795320023
1.7,2.645553949036621,2.6456319338372323
1.8,2.94208746599121,2.9421742880956803
1.9,3.268066365611816,3.268162911528317
2.0,3.62675332755957,3.6268604078470186
2.1,4.021740943407226,4.021856742157334
2.2,4.456976722425781,4.457105170535894
2.3,4.936819460539062,4.936961805545957
2.4,5.466071599413085,5.466229213676094
2.5,6.05002990840039,6.0502044810397875
2.6,6.694538875692382,6.694732228393679
2.7,7.406049290917968,7.406263106066543
2.8,8.191687901474609,8.191918354235915
2.9,9.059306067511718,9.059561074693326
3.0,10.017592875179687,10.017874927409903
3.1,11.07613919901367,11.076451039524038
3.2,12.245539049996093,12.245883996565492
3.3,13.537496213080077,13.537877876628322
3.4,14.964941715416016,14.965363388718341
3.5,16.542173321109374,16.542627287635
3.6,18.284953248378905,18.285455360615348
3.7,20.210735122980466,20.21129041679853
3.8,22.338793333015627,22.339406860722324
3.9,24.69042518300781,24.691103597042183
