x,y,c
-4.0,-0.9993595109616695,-0.999329299739067
-3.9,-0.9991728821451412,-0.999180865670028
-3.8,-0.998981167123046,-0.9989995977858409
-3.7,-0.998761989640136,-0.9987782412811312
-3.6,-0.9985083362193603,-0.9985079423323266
-3.5,-0.9981756209041748,-0.9981778976111987
-3.4,-0.9977800749464103,-0.9977749279342794
-3.3,-0.9972571118342285,-0.9972829600991421
-3.2,-0.9966674871550285,-0.9966823978396512
-3.1,-0.9959471246785888,-0.9959493592219002
-3.0,-0.9950724999562985,-0.9950547536867305
-2.9,-0.9939648965904533,-0.9939631673505831
-2.8,-0.99261351726123,-0.992631520201128
-2.7,-0.9910171899276118,-0.9910074536781176
-2.6,-0.9890126881320795,-0.9890274022010992
-2.5,-0.9866114412579342,-0.9866142981514303
-2.4,-0.9836894444949947,-0.9836748576936802
-2.3,-0.9801121748948968,-0.9800963962661914
-2.2,-0.9757366337327877,-0.9757431300314515
-2.1,-0.9704653938005365,-0.9704519366134539
-2.0,-0.9640384180340568,-0.9640275800758169
-1.9,-0.9562372985660392,-0.9562374581277391
-1.8,-0.9468222502204585,-0.9468060128462683
-1.7,-0.935414649515136,-0.935409070603099
-1.6,-0.9216737048587638,-0.9216685544064713
-1.5,-0.9051447150220943,-0.9051482536448664
-1.4,-0.885362840521972,-0.8853516482022625
-1.3,-0.8617167334124748,-0.8617231593133063
-1.2,-0.833661643922851,-0.8336546070121552
-1.1,-0.8005065408415525,-0.8004990217606297
-1.0,-0.7615755209442138,-0.7615941559557649
-0.9,-0.7162879807681882,-0.7162978701990244
-0.8,-0.6640517012194815,-0.6640367702678489
-0.7,-0.604361130325195,-0.6043677771171635
-0.6,-0.5370466716785888,-0.5370495669980353
-0.5,-0.46211187132897874,-0.46211715726000974
-0.4,-0.3799549015764155,-0.3799489622552249
-0.3,-0.29131258563366674,-0.2913126124515909
-0.2,-0.19737678728527827,-0.197375320224904
-0.1,-0.0996684889606925,-0.09966799462495582
0.0,2.5233398e-08,0.0
0.1,0.0996684889606925,0.09966799462495582
0.2,0.19737678728527827,0.197375320224904
0.3,0.29131258563366674,0.2913126124515909
0.4,0.3799549015764155,0.3799489622552249
0.5,0.46211187071350024,0.46211715726000974
0.6,0.5370466716785888,0.5370495669980353
0.7,0.604361130325195,0.6043677771171635
0.8,0.6640517012194815,0.6640367702678489
0.9,0.7162879807681882,0.7162978701990244
1.0,0.7615755209442138,0.7615941559557649
1.1,0.8005065408415525,0.8004990217606297
1.2,0.8336616426151118,0.8336546070121552
1.3,0.8617167334124748,0.8617231593133063
1.4,0.8853628399064934,0.8853516482022625
1.5,0.9051447150220943,0.9051482536448664
1.6,0.9216737048587638,0.9216685544064713
1.7,0.935414649515136,0.935409070603099
1.8,0.9468222499127192,0.9468060128462683
1.9,0.9562372979505608,0.9562374581277391
2.0,0.9640384180340568,0.9640275800758169
2.1,0.9704653925695795,0.9704519366134539
2.2,0.9757366337327877,0.9757431300314515
2.3,0.9801121745871575,0.9800963962661914
2.4,0.9836894441872555,0.9836748576936802
2.5,0.986611440950195,0.9866142981514303
2.6,0.9890126878243403,0.9890274022010992
2.7,0.991017191235351,0.9910074536781176
2.8,0.9926135169534908,0.992631520201128
2.9,0.993964896282714,0.9939631673505831
3.0,0.9950724999562985,0.9950547536867305
3.1,0.9959471246785888,0.9959493592219002
3.2,0.9966674868472892,0.9966823978396512
3.3,0.9972571115264892,0.9972829600991421
3.4,0.997780074638671,0.9977749279342794
3.5,0.9981756225196533,0.9981778976111987
3.6,0.998508335911621,0.9985079423323266
3.7,0.9987619893323968,0.9987782412811312
3.8,0.9989811645075675,0.9989995977858409
3.9,0.999172881837402,0.999180865670028
